name,ids,imdb_rank
The Last of Us,3581920,1
You,7335184,2
Poker Face,14269590,3
1923,18335752,4
Yellowstone,4236770,5
The White Lotus,13406094,6
Shrinking,15677150,7
The Walking Dead,1520211,8
Star Trek: Picard,8806524,9
Game of Thrones,944947,10
The Gold,14063678,11
Breaking Bad,903747,12
Wednesday,13443470,13
Happy Valley,3428912,14
Criminal Minds,452046,15
The Rookie,7587890,16
Farzi,15477488,17
Carnival Row,489974,18
Your Honor,7440726,19
The Flash,3107288,20
Ted Lasso,10986410,21
Better Call Saul,3032476,22
The Boys,1190634,23
The Legend of Vox Machina,11247158,24
The Mandalorian,8111088,25
Mayor of Kingstown,11712058,26
South Park,121955,27
Lockwood & Co,13802576,28
Grey's Anatomy,413573,29
The Office,386676,30
Stranger Things,4574334,31
Ginny & Georgia,10813940,32
NCIS,364845,33
Clarkson's Farm,10541088,34
Tulsa King,16358384,35
The Sopranos,141842,36
Better,14466190,37
New Amsterdam,7817340,38
True Detective,2356777,39
Supernatural,460681,40
C.B. Strike,4276618,41
Succession,7660850,42
Law & Order: Special Victims Unit,203259,43
House of the Dragon,11198330,44
Death in Paradise,1888075,45
Peaky Blinders,2442560,46
Young Sheldon,6226232,47
Attack on Titan,898266,48
Not Dead Yet,2560140,49
Severance,18250904,50
Velma,11280740,51
Friends,14153790,52
The Big Bang Theory,108778,53
It's Always Sunny in Philadelphia,472954,54
Accused,7949212,55
The Blacklist,2741602,56
Red Rose,19788500,57
Vikings,2306299,58
Mayfair Witches,15428778,59
Ghosts,11379026,60
Outer Banks,10293938,61
Abbott Elementary,14218830,62
Modern Family,1442437,63
Hunters,7456722,64
Andor,9253284,65
The Crown,4786824,66
The Law According to Lidia Poet,15441160,67
Star Wars: The Bad Batch,12708542,68
Bones,460627,69
That '70s Show,165598,70
Outlander,3006802,71
Doctor Who,436992,72
Wolf Pack,15487922,73
Jack Ryan,5057054,74
The Chosen,9471404,75
Euphoria,8772296,76
Cunk on Earth,16867040,77
That '90s Show,15591076,78
Black Mirror,2085059,79
Westworld,475784,80
The Wire,306414,81
Servant,8068860,82
Will Trent,17543592,83
Why Women Kill,9054904,84
Seinfeld,98904,85
Suits,1632701,86
Vera,1693592,87
Extraordinary,14531842,88
Fauda,4565380,89
Shameless,1586680,90
Midsomer Murders,118401,91
Yellowjackets,11041332,92
Teen Wolf,1567432,93
The Good Doctor,6470478,94
Vikings: Valhalla,11311302,95
American Horror Story,1844624,96
Narcos,2707408,97
The Last Kingdom,4179452,98
Blue Bloods,1595859,99
Lost,411008,100
The Lord of the Rings: The Rings of Power,7631058,101
Slow Horses,5875444,102
Family Guy,182576,103
The X-Files,106179,104
Hello Tomorrow!,14596212,105
House M.D.,412142,106
Law & Order,98844,107
One Piece,388629,108
How I Met Your Father,14500082,109
National Treasure: Edge of History,12580982,110
His Dark Materials,5607976,111
The Ark,17371078,112
Lucifer,4052886,113
The Witcher,5180504,114
Star Trek: The Next Generation,92455,115
How I Met Your Mother,460649,116
Two and a Half Men,369179,117
Parks and Recreation,1266020,118
Reacher,9288030,119
The Sinner,6048596,120
Physical: 100,25274446,121
The Bear,14452776,122
The Simpsons,96697,123
Only Murders in the Building,12851524,124
Alice in Borderland,10795658,125
Rick and Morty,2861424,126
Dear Edward,17543896,127
Community,1439629,128
The Handmaid's Tale,5834204,129
Chicago Fire,2261391,130
La Brea,11640018,131
Buffy the Vampire Slayer,118276,132
The Peripheral,8291284,133
Manifest,8421350,134
Castle,1219024,135
Fire Country,16098700,136
9-1-1: Lone Star,10323338,137
Fargo,2802850,138
ER,108757,139
FBI,7491982,140
Animal Control,21376524,141
Sex Education,7767422,142
Ozark,5071412,143
New Girl,1826940,144
Full Swing,17050700,145
The Recruit,16030542,146
Magnum P.I.,7942796,147
Fear the Walking Dead,3743822,148
Funny Woman,15309272,149
Chicago P.D.,2805096,150