name,followers
Game of Thrones,8100000
Stranger Things,5200000
Grey's Anatomy,4900000
The Big Bang Theory,4200000
Supernatural,3500000
South Park,3300000
Rick and Morty,2600000
Teen Wolf,2100000
Family Guy,1900000
One Piece,1800000
The Flash,1700000
Bones,1700000
The Walking Dead,1600000
Criminal Minds,1600000
Doctor Who,1600000
American Horror Story,1600000
Breaking Bad,1400000
Euphoria,1400000
The Office,1300000
Vikings,1300000
Modern Family,1300000
The Simpsons,1300000
The Wire,1200000
NCIS,1000000
Law & Order: Special Victims Unit,1000000
Law & Order,1000000
Friends,993400
The Boys,993100
Peaky Blinders,921500
How I Met Your Mother,883700
Lucifer,874100
House of the Dragon,863900
The Mandalorian,813400
Ted Lasso,767200
New Girl,737500
Parks and Recreation,679100
Better Call Saul,672200
Castle,647600
Suits,614600
Outlander,582300
The Witcher,530300
Two and a Half Men,517300
The Lord of the Rings: The Rings of Power,508500
Shameless,501300
Attack on Titan,487100
Black Mirror,466700
The Blacklist,440900
Sex Education,410800
The Last of Us,388300
Chicago P.D.,373400
You,360700
Blue Bloods,355300
Community,349300
Fear the Walking Dead,324600
Yellowstone,319100
Wednesday,297700
Westworld,285300
The X-Files,283700
The Crown,275600
Seinfeld,237400
The Handmaid's Tale,225100
Outer Banks,223000
Narcos,204300
The Good Doctor,161800
The Last Kingdom,138100
Succession,123700
Manifest,117200
Fargo,115600
Abbott Elementary,108600
Star Trek: Picard,100000
Star Trek: The Next Generation,100000
Only Murders in the Building,93800
True Detective,92900
It's Always Sunny in Philadelphia,90300
Star Wars: The Bad Batch,71600
9-1-1: Lone Star,69000
Young Sheldon,67700
The Rookie,65800
New Amsterdam,65700
The Chosen,61900
FBI,56400
His Dark Materials,53300
Death in Paradise,45800
1923,44500
Jack Ryan,43800
Happy Valley,33700
Magnum P.I.,32600
The Sinner,29100
Yellowjackets,28400
Andor,27100
How I Met Your Father,24500
Mayfair Witches,23600
Vera,23500
Fauda,23500
Reacher,23100
Ghosts,22600
Carnival Row,20900
The Bear,20700
Vikings: Valhalla,18500
Midsomer Murders,14000
Mayor of Kingstown,12900
The Peripheral,12100
Servant,11800
Tulsa King,10500
Hunters,9283
National Treasure: Edge of History,7584
Wolf Pack,7406
Fire Country,6843
Ginny & Georgia,6482
Velma,6203
Animal Control,5116
Lost,4787
House M.D.,4665
Will Trent,2765
Severance,2579
Not Dead Yet,1462
La Brea,904
The Ark,413
Poker Face,0
The White Lotus,0
Shrinking,0
The Gold,0
Farzi,0
Your Honor,0
The Legend of Vox Machina,0
Lockwood & Co,0
Clarkson's Farm,0
The Sopranos,0
Better,0
C.B. Strike,0
Accused,0
Red Rose,0
The Law According to Lidia Poet,0
That '70s Show,0
Cunk on Earth,0
That '90s Show,0
Why Women Kill,0
Extraordinary,0
Slow Horses,0
Hello Tomorrow!,0
Physical: 100,0
Alice in Borderland,0
Dear Edward,0
Chicago Fire,0
Buffy the Vampire Slayer,0
ER,0
Ozark,0
Full Swing,0
The Recruit,0
Funny Woman,0